walletid,Wallet Create Date,Wallet Create Stage,Movement 202101,Movement 202102,Movement 202103,Movement 202104,Movement 202101 - 202104
GRoaQL9qZYqmLN4pzb7P7zqvDeAC3xHSFm,20200930,Pre Launch,0.00,0.00,-2 493 833.69,0.00,-2 493 833.69
GJsAmAdZiFpHAsZCNWi54AT53kEC8KR7w7,20200929,Pre Launch,0.00,0.00,-1 874 804.21,0.00,-1 874 804.21
GRBgL8GL98akHAQq9FoeZWsrtZSARVtw5v,20201002,Pre Launch,0.00,0.00,-1 824 109.61,0.00,-1 824 109.61
GZg4XTzH4TvyAEYiJBBEF7CRJTSuxwF2JE,20201002,Pre Launch,0.00,0.00,-1 726 756.03,0.00,-1 726 756.03
GJJTJArzmqN3ggFJsz1J6vHWsWPztwe6A2,20201002,Pre Launch,0.00,0.00,-1 638 792.24,0.00,-1 638 792.24
GVwdtBm2qUMs3pnxGUQSxf4x3r15py5638,20201001,Pre Launch,0.00,0.00,-1 634 328.89,0.00,-1 634 328.89
GXFwYhg114JjeYZ9R5Tmg7noWDLnTLyoJH,20201002,Pre Launch,0.00,0.00,-1 618 444.57,0.00,-1 618 444.57
Gcfy9Dcx2SJ9MeBxzTAHnfBnJyzjwCtqPA,20201002,Pre Launch,0.00,0.00,-1 605 379.99,0.00,-1 605 379.99
GfdTV7wSR2CUAaNYsj5k5Wwe3b65bKRebj,20201002,Pre Launch,0.00,0.00,-1 604 162.46,0.00,-1 604 162.46
Gbk2xUNBrcwv4eR2KacSA1R3neN9Cq299o,20201002,Pre Launch,0.00,0.00,-1 592 255.79,0.00,-1 592 255.79
GTd77FBYDw5M6ow8wtcwWuhq5tFzLd4gc9,20201002,Pre Launch,0.00,0.00,-1 577 501.25,0.00,-1 577 501.25
GVD7wW1f72kwZbs8nGv71rs4BKTKJraqEK,20201002,Pre Launch,0.00,0.00,-1 576 757.74,0.00,-1 576 757.74
GJA7rLD3csooztiexP5q9q81uk1YcMTCUD,20201002,Pre Launch,0.00,0.00,-1 576 115.70,0.00,-1 576 115.70
GYAzUhboxsijo4Mg4SCq6DRJv3MJGp6oCi,20201002,Pre Launch,0.00,0.00,-1 574 584.35,0.00,-1 574 584.35
GTC6WCAosaqrpsV2XJfmJXTmYh6VGrNCAF,20201002,Pre Launch,0.00,0.00,-1 568 078.03,0.00,-1 568 078.03
GgsNH3cuuGzrbx7VUjx9bsaHVgf7xevBuY,20201002,Pre Launch,0.00,0.00,-1 565 893.45,0.00,-1 565 893.45
GNcsLn3zkNVMb88dcKp3Y98ocj9TvVg4Zn,20201002,Pre Launch,0.00,0.00,-1 565 395.37,0.00,-1 565 395.37
GezxX5KD7swkN9VGEBUZAnL4oK5rL4EuhZ,20201002,Pre Launch,0.00,0.00,-1 558 815.37,0.00,-1 558 815.37
GUtGkSNweUdwaumAbvBpbADUQb9nd4kfmY,20201002,Pre Launch,0.00,0.00,-1 555 334.97,0.00,-1 555 334.97
GXH9wq27fEWnPHV8zwm7kAmM3mP6XE6GCR,20201002,Pre Launch,0.00,0.00,-1 553 295.99,0.00,-1 553 295.99
GM5Hev86qLuN51KFmjVos3rYy7of4gST3z,20201002,Pre Launch,0.00,0.00,-1 552 679.91,0.00,-1 552 679.91
GavqRETWBHjzHSYA8jKVtqMeEPG9EozP34,20201002,Pre Launch,0.00,0.00,-1 552 579.56,0.00,-1 552 579.56
GbAQEsn5EnjRXDSsiuzzKhDNChunwRostH,20201002,Pre Launch,0.00,0.00,-1 550 923.42,0.00,-1 550 923.42
GLThLjUEb7piM3kmJDkAbaZ9i6n6XMedX8,20201002,Pre Launch,0.00,0.00,-1 549 939.64,0.00,-1 549 939.64
GT5EcysPL3ptFnPoVpsJdAVv7R67oM9D5E,20201002,Pre Launch,0.00,0.00,-1 537 567.83,0.00,-1 537 567.83
GeQa7S9ZefLk453nFuDbLjmEep9bqjAKmd,20201002,Pre Launch,0.00,0.00,-1 522 342.15,0.00,-1 522 342.15
GNF1j7aSER52EM3urcHtuTbq5c3znwz7Tk,20201002,Pre Launch,0.00,0.00,-1 506 915.64,0.00,-1 506 915.64
GWx8sz9EGcCGvsgzR4YhreN2xiXDiJ2cip,20201002,Pre Launch,0.00,0.00,-1 505 549.81,0.00,-1 505 549.81
GSsmk3PcxpVMoNfgSVejXoxz2eghXRUv48,20201002,Pre Launch,0.00,0.00,-1 503 097.98,0.00,-1 503 097.98
GLKFMkQpPrEKNsR9T6iZ5kGh1N3KP6ie5M,20201002,Pre Launch,0.00,0.00,-1 502 351.60,0.00,-1 502 351.60
GbYKjohToM5HTAYorhUdy82vmxTR5LcGdd,20200927,Pre Launch,0.00,-8.50,-1 486 293.32,0.00,-1 486 301.82
GJA6uEdRuTscfGWx47eKNAGDmRUpfVBZd6,20201002,Pre Launch,0.00,0.00,-1 484 739.92,0.00,-1 484 739.92
GYtE9iEmugi3Cxq7BrNoVkrbC71VRS5ypr,20201002,Pre Launch,0.00,0.00,-1 482 701.22,0.00,-1 482 701.22
GS5nmfkwY6HuL7g2bHivQgcfE6RevWgpQK,20201002,Pre Launch,0.00,0.00,-1 477 338.95,0.00,-1 477 338.95
GTkKcfqW5S4rbr3LFiJQj8yeb8RoXkqKtj,20201002,Pre Launch,0.00,0.00,-1 453 408.59,0.00,-1 453 408.59
GNaArDEpJcwuGivBwxDgMuCZyNfv1EGGxU,20201002,Pre Launch,0.00,0.00,-1 452 974.19,0.00,-1 452 974.19
GUHnE2WYx9FTnhvmPznit5LkKd3TVmvciz,20201002,Pre Launch,0.00,0.00,-1 444 148.81,0.00,-1 444 148.81
GcHpEH36BQHp2dTNCuK3Rk7pVNWEsWxtMp,20201002,Pre Launch,0.00,0.00,-1 435 336.37,0.00,-1 435 336.37
GeKo9bVXvUDJH5WjAVxJfyZmnGHzCApRBE,20201002,Pre Launch,0.00,0.00,-1 430 016.70,0.00,-1 430 016.70
GPZ5bfrFTjMPqoubCR6y2isRN93BBgJ9k5,20201002,Pre Launch,0.00,0.00,-1 429 989.93,0.00,-1 429 989.93
GScZ3weyzCY86e9B7dn6yaeVgvkrxdCaxY,20201002,Pre Launch,0.00,0.00,-1 425 786.07,0.00,-1 425 786.07
GJ28TtTXGf7JbFmRskkuLeEafGxsAxVbrM,20201002,Pre Launch,0.00,0.00,-1 417 870.01,0.00,-1 417 870.01
Gb6JoZBeJGmYVYuzG8pKiHhkBH2Zg6JNqr,20201002,Pre Launch,0.00,0.00,-1 415 351.77,0.00,-1 415 351.77
GVBTuEiSFZcr4miRsECNmmLEpaDnR3vwEx,20201002,Pre Launch,0.00,0.00,-1 409 110.39,0.00,-1 409 110.39
GanYvox3SCxQ8xdRif9KNPxwDMCKqJbfkr,20201001,Pre Launch,0.00,0.00,-1 405 809.58,0.00,-1 405 809.58
GMZc1EG1rxb1iRPu8goAPMVsZVhg7ctbWZ,20201002,Pre Launch,0.00,0.00,-1 404 669.77,0.00,-1 404 669.77
GVeSDTwkc2DNZ8d31e69hUGh7vYCnKb8CK,20201002,Pre Launch,0.00,0.00,-1 397 690.85,0.00,-1 397 690.85
GdK1sq2VFycmyM4yBNyRoCssQha9kGrQCw,20201002,Pre Launch,0.00,0.00,-1 390 458.59,0.00,-1 390 458.59
GKAEazwiiTCEvTt7YEAsAzENPpzvmqvt4U,20201002,Pre Launch,0.00,0.00,-1 386 796.23,0.00,-1 386 796.23
GT8oTJptf6AYVpEcw3sbHvDUfTxX7NTq4f,20201002,Pre Launch,0.00,0.00,-1 381 135.08,0.00,-1 381 135.08
GdGK8GZorfHXvEzShcVLsVgAW1YKAWcC4R,20201002,Pre Launch,0.00,0.00,-1 369 008.48,0.00,-1 369 008.48
GYYUgCYuhn5TLDjp1qd2Ht3fo99zLEbvA9,20201001,Pre Launch,0.00,0.00,-1 367 844.17,0.00,-1 367 844.17
GZ5Vvn2BrgsSDV8SnoasBxwZUtWK9CLS15,20201002,Pre Launch,0.00,0.00,-1 364 257.49,0.00,-1 364 257.49
GJNhFrracerfBLB1LR8EDFxQRWfqnetva8,20201002,Pre Launch,0.00,0.00,-1 354 650.71,0.00,-1 354 650.71
GQLwz3NiBnQJLocYZnBuPVkGy9utjxzc5w,20201002,Pre Launch,0.00,0.00,-1 349 878.36,0.00,-1 349 878.36
Gb8TLzSDgz2Er5fJBoCWGYFoe47hbtPDkm,20201002,Pre Launch,0.00,0.00,-1 342 984.40,0.00,-1 342 984.40
GJ9LrBhdPfjyADQVKtkENt95EbLUFJgjKC,20201002,Pre Launch,0.00,0.00,-1 341 595.97,0.00,-1 341 595.97
Gd8DddqtkiB9Rm1girZPAPD9kWGdcrS8FE,20201002,Pre Launch,0.00,0.00,-1 333 069.83,0.00,-1 333 069.83
GQQf5PWqNhyo6eGEp8fbd7m3awzg3LwSzn,20201002,Pre Launch,0.00,0.00,-1 332 890.06,0.00,-1 332 890.06
GS9pJFtXhpVTCn9HKaMXH38i9LVha3oBJ4,20201002,Pre Launch,0.00,0.00,-1 332 753.38,0.00,-1 332 753.38
